Exposure	R2_main	Beta	P	N	Ancestry	Cohort	BMI
VPA_NDays	0.03289	-1.723e-02	2e-16	304951	EUR	UKBB	logBMI
VitaminB12Mean	0.01651	-2.117e-03	1.58e-06	127335	EUR	UKBB	logBMI
VitaminB6Mean	0.01659	1.339e-03	0.00238	128413	EUR	UKBB	logBMI
VitaminCMean	0.01824	-6.889e-03	2e-16	127866	EUR	UKBB	logBMI
VitaminDMean	0.01735	-4.277e-03	2e-16	127451	EUR	UKBB	logBMI
VitaminEMean	0.02394	-1.374e-02	2e-16	127770	EUR	UKBB	logBMI
Age	0.03096	-0.011628	0.00749	3103	AFR	eMERGE	logBMI
HDL	0.08805	-5.979e-02	2e-16	3103	AFR	eMERGE	logBMI
LDL	0.03096	1.996e-02	4.05e-06	3103	AFR	eMERGE	logBMI
TG	0.04058	2.415e-02	2.7e-08	3102	AFR	eMERGE	logBMI
TotCholesterol	0.03096	1.626e-04	0.97019	3103	AFR	eMERGE	logBMI
Age	0.01429	-0.018662	2e-16	31961	EUR	eMERGE	logBMI
HDL	0.1064	-6.819e-02	2e-16	31952	EUR	eMERGE	logBMI
LDL	0.01429	-1.405e-03	0.23824	31961	EUR	eMERGE	logBMI
TG	0.05929	4.465e-02	2e-16	31939	EUR	eMERGE	logBMI
TotCholesterol	0.01587	-8.699e-03	8.08e-13	31961	EUR	eMERGE	logBMI
