Exposure	R2	SE	Mean	Max_diff_bw	Abs_max_diff_bw	R2_diff	P_max_diff	N	Cohort	Ancestry	VariableType
EverSmoker	0.02441215	0.009699209	0	1_2	0.0033809500000000006	-0.0033809500000000006	0.8636787	1693	GERA	AFR	Binary
EverSmoker	0.02103120	0.010537739	1	1_2	0.0033809500000000006	-0.0033809500000000006	0.8636787	1693	GERA	AFR	Binary
Socioeconomic	0.02374838	0.01550521	10	4_5	0.020118149999999998	0.020118149999999998	0.5155063	1660	GERA	AFR	Continuous
Socioeconomic	0.01583639	0.01370666	30	4_5	0.020118149999999998	0.020118149999999998	0.5155063	1660	GERA	AFR	Continuous
Socioeconomic	0.01502689	0.01487128	50	4_5	0.020118149999999998	0.020118149999999998	0.5155063	1660	GERA	AFR	Continuous
Socioeconomic	0.01374092	0.01275535	70	4_5	0.020118149999999998	0.020118149999999998	0.5155063	1660	GERA	AFR	Continuous
Socioeconomic	0.03385907	0.02007431	90	4_5	0.020118149999999998	0.020118149999999998	0.5155063	1660	GERA	AFR	Continuous
NeverVsCurrent	0.02441215	0.009580515	0	1_2	0.05961069	0.05961069	0.1766786	1130	GERA	AFR	Binary
NeverVsCurrent	0.08402284	0.039672641	1	1_2	0.05961069	0.05961069	0.1766786	1130	GERA	AFR	Binary
PhysicalActivity	0.01292119	0.01220218	10	1_4	0.01532616	0.01532616	0.5940108	1747	GERA	AFR	Continuous
PhysicalActivity	0.01345546	0.01323156	30	1_4	0.01532616	0.01532616	0.5940108	1747	GERA	AFR	Continuous
PhysicalActivity	0.02649458	0.01753782	50	1_4	0.01532616	0.01532616	0.5940108	1747	GERA	AFR	Continuous
PhysicalActivity	0.02824735	0.01922443	70	1_4	0.01532616	0.01532616	0.5940108	1747	GERA	AFR	Continuous
PhysicalActivity	0.01577020	0.01329224	90	1_4	0.01532616	0.01532616	0.5940108	1747	GERA	AFR	Continuous
Sex	0.01476550	0.007372738	0	1_2	0.019137420000000002	0.019137420000000002	0.3390272	1789	GERA	AFR	Binary
Sex	0.03390292	0.013664185	1	1_2	0.019137420000000002	0.019137420000000002	0.3390272	1789	GERA	AFR	Binary
SmokingPackYears	0.028514322	0.017765360	0	2_3	0.033567257	0.033567257	0.2367091	1662	GERA	AFR	Continuous
SmokingPackYears	0.005985292	0.009147098	0	2_3	0.033567257	0.033567257	0.2367091	1662	GERA	AFR	Continuous
SmokingPackYears	0.039552549	0.020852317	0.003003003	2_3	0.033567257	0.033567257	0.2367091	1662	GERA	AFR	Continuous
SmokingPackYears	0.010273805	0.011750651	1.039157	2_3	0.033567257	0.033567257	0.2367091	1662	GERA	AFR	Continuous
SmokingPackYears	0.028192961	0.017491504	2.381381	2_3	0.033567257	0.033567257	0.2367091	1662	GERA	AFR	Continuous
Age	0.07531038	0.004629687	44.37363	1_5	0.03878519	-0.03878519	7.993233e-07	56049	GERA	EUR	Continuous
Age	0.06556719	0.004393387	57.71811	1_5	0.03878519	-0.03878519	7.993233e-07	56049	GERA	EUR	Continuous
Age	0.06065715	0.004638967	63.63024	1_5	0.03878519	-0.03878519	7.993233e-07	56049	GERA	EUR	Continuous
Age	0.05158547	0.003961626	69.55531	1_5	0.03878519	-0.03878519	7.993233e-07	56049	GERA	EUR	Continuous
Age	0.03652519	0.003233729	78.4612	1_5	0.03878519	-0.03878519	7.993233e-07	56049	GERA	EUR	Continuous
AlcoholDaysPerWeek	0.06143590	0.004450587	10	2_5	0.02216592	-0.02216592	0.004828521	54326	GERA	EUR	Continuous
AlcoholDaysPerWeek	0.06197094	0.004404851	30	2_5	0.02216592	-0.02216592	0.004828521	54326	GERA	EUR	Continuous
AlcoholDaysPerWeek	0.05600056	0.004199964	50	2_5	0.02216592	-0.02216592	0.004828521	54326	GERA	EUR	Continuous
AlcoholDaysPerWeek	0.05214949	0.004090403	70	2_5	0.02216592	-0.02216592	0.004828521	54326	GERA	EUR	Continuous
AlcoholDaysPerWeek	0.03980502	0.003467306	90	2_5	0.02216592	-0.02216592	0.004828521	54326	GERA	EUR	Continuous
EduAttain	0.05268780	0.004090801	1.352485	1_2	0.0063233800000000034	0.0063233800000000034	0.4525827	56049	GERA	EUR	Continuous
EduAttain	0.05901118	0.004334067	2.188938	1_2	0.0063233800000000034	0.0063233800000000034	0.4525827	56049	GERA	EUR	Continuous
EduAttain	0.05832906	0.004215502	3	1_2	0.0063233800000000034	0.0063233800000000034	0.4525827	56049	GERA	EUR	Continuous
EduAttain	0.05302571	0.003920183	3	1_2	0.0063233800000000034	0.0063233800000000034	0.4525827	56049	GERA	EUR	Continuous
EduAttain	0.05518302	0.004137649	3.271454	1_2	0.0063233800000000034	0.0063233800000000034	0.4525827	56049	GERA	EUR	Continuous
